"cole_mcpio_ubicacion","cole_area_ubicacion","_col2","_col3","_col4"
"ABEJORRAL","RURAL","235.9102564102564","154","348"
"ABEJORRAL","URBANO","274.7977528089888","158","383"
"AMAGÁ","RURAL","222.33333333333334","168","278"
"AMAGÁ","URBANO","242.44334975369458","148","368"
"AMALFI","URBANO","234.28","152","349"
"ANDES","RURAL","236.76073619631902","152","366"
"ANDES","URBANO","267.72727272727275","166","375"
"APARTADÓ","RURAL","233.2512077294686","150","356"
"APARTADÓ","URBANO","239.315739868049","148","384"
"ARBOLETES","RURAL","205.2206896551724","158","338"
"ARBOLETES","URBANO","227.11176470588236","149","340"
"BARBOSA","RURAL","225.8507462686567","155","321"
"BARBOSA","URBANO","244.68047337278105","152","380"
"BELLO","RURAL","201.8372093023256","145","312"
"BELLO","URBANO","256.7340880503145","140","415"
"BOGOTÁ D.C.","RURAL","266.72379032258067","153","409"
"BOGOTÁ D.C.","URBANO","273.36085804062003","135","450"
"CALDAS","RURAL","282.74418604651163","163","375"
"CALDAS","URBANO","256.8311965811966","155","385"
"CAREPA","RURAL","210.44871794871796","157","301"
"CAREPA","URBANO","239.75456919060053","151","378"
"CAUCASIA","RURAL","215.11111111111111","158","307"
"CAUCASIA","URBANO","253.53488372093022","147","420"
"CAÑASGORDAS","RURAL","218.32051282051282","148","352"
"CAÑASGORDAS","URBANO","234.7843137254902","143","371"
"CHIGORODÓ","RURAL","221.6875","132","321"
"CHIGORODÓ","URBANO","232.13917525773195","140","353"
"CISNEROS","RURAL","250.33333333333334","163","309"
"CISNEROS","URBANO","243.11688311688312","157","339"
"CIUDAD BOLÍVAR","RURAL","239.6904761904762","153","355"
"CIUDAD BOLÍVAR","URBANO","232.3409090909091","154","361"
"COPACABANA","RURAL","268.1458333333333","175","368"
"COPACABANA","URBANO","262.54057591623035","153","395"
"CÁCERES","RURAL","214.17757009345794","152","351"
"CÁCERES","URBANO","217.3495145631068","141","332"
"DABEIBA","RURAL","214.990099009901","147","350"
"DABEIBA","URBANO","218.08045977011494","147","356"
"DONMATÍAS","RURAL","215.8","172","269"
"DONMATÍAS","URBANO","245.20625","159","374"
"EL BAGRE","RURAL","220.41666666666666","153","314"
"EL BAGRE","URBANO","221.4625","143","342"
"EL CARMEN DE VIBORAL","RURAL","260.6","168","343"
"EL CARMEN DE VIBORAL","URBANO","273.2680412371134","153","444"
"ENVIGADO","RURAL","270.0327868852459","168","375"
"ENVIGADO","URBANO","285.076","148","477"
"FRONTINO","RURAL","230.13888888888889","162","327"
"FRONTINO","URBANO","252.57664233576642","154","358"
"GIRARDOTA","URBANO","260.0","148","388"
"GRANADA","RURAL","202.0","167","297"
"GRANADA","URBANO","257.9836065573771","165","332"
"GUARNE","RURAL","257.1515151515151","187","355"
"GUARNE","URBANO","276.09852216748766","167","376"
"GÓMEZ PLATA","RURAL","233.5","160","318"
"GÓMEZ PLATA","URBANO","252.23636363636365","166","336"
"ITAGÜÍ","RURAL","241.93820224719101","166","370"
"ITAGÜÍ","URBANO","262.8508997429306","135","402"
"ITUANGO","RURAL","204.74647887323943","153","301"
"ITUANGO","URBANO","216.47727272727272","144","328"
"JERICÓ","RURAL","216.53333333333333","157","306"
"JERICÓ","URBANO","262.9468085106383","180","355"
"LA CEJA","RURAL","286.1354166666667","182","370"
"LA CEJA","URBANO","272.2547770700637","165","393"
"LA ESTRELLA","RURAL","284.6666666666667","180","347"
"LA ESTRELLA","URBANO","257.71279373368145","155","381"
"MACEO","RURAL","235.76","151","293"
"MACEO","URBANO","241.38888888888889","156","351"
"MARINILLA","RURAL","291.3939393939394","154","433"
"MARINILLA","URBANO","267.5489749430524","147","411"
"MEDELLÍN","RURAL","263.75495750708217","143","410"
"MEDELLÍN","URBANO","252.9707883562695","132","445"
"MUTATÁ","URBANO","204.38028169014083","152","298"
"NECHÍ","URBANO","222.52272727272728","158","334"
"NECOCLÍ","RURAL","203.07434944237917","143","305"
"NECOCLÍ","URBANO","228.44247787610618","133","374"
"PEQUE","URBANO","223.3846153846154","150","319"
"PEÑOL","RURAL","213.54237288135593","157","305"
"PEÑOL","URBANO","251.48591549295776","148","377"
"PUERTO BERRÍO","RURAL","201.27777777777777","152","274"
"PUERTO BERRÍO","URBANO","221.40691489361703","149","359"
"PUERTO TRIUNFO","RURAL","267.75","187","370"
"PUERTO TRIUNFO","URBANO","247.57575757575756","185","317"
"REMEDIOS","RURAL","211.05263157894737","152","348"
"REMEDIOS","URBANO","211.46794871794873","137","320"
"RIONEGRO","RURAL","265.080310880829","155","392"
"RIONEGRO","URBANO","267.09257142857143","133","436"
"SABANETA","RURAL","279.7378640776699","167","408"
"SABANETA","URBANO","277.3019943019943","157","393"
"SAN CARLOS","RURAL","226.3012048192771","158","339"
"SAN CARLOS","URBANO","248.17857142857142","172","353"
"SAN JUAN DE URABÁ","RURAL","197.3294117647059","126","282"
"SAN JUAN DE URABÁ","URBANO","222.3302752293578","150","370"
"SAN PEDRO DE LOS MILAGROS","RURAL","245.96","157","329"
"SAN PEDRO DE LOS MILAGROS","URBANO","254.91534391534393","167","361"
"SAN PEDRO DE URABÁ","RURAL","202.21428571428572","165","264"
"SAN PEDRO DE URABÁ","URBANO","235.1140350877193","154","344"
"SAN ROQUE","RURAL","215.57142857142858","147","290"
"SAN ROQUE","URBANO","226.51764705882354","145","358"
"SANTA BÁRBARA","RURAL","250.46610169491527","155","370"
"SANTA BÁRBARA","URBANO","250.0","163","361"
"SANTA FÉ DE ANTIOQUIA","URBANO","251.70212765957447","158","370"
"SANTA ROSA DE OSOS","RURAL","231.9318181818182","168","307"
"SANTA ROSA DE OSOS","URBANO","262.3529411764706","167","388"
"SANTO DOMINGO","RURAL","242.0","198","292"
"SANTO DOMINGO","URBANO","274.2","209","362"
"SEGOVIA","URBANO","219.0950819672131","145","354"
"SONSÓN","RURAL","242.57668711656441","165","348"
"SONSÓN","URBANO","250.43243243243242","180","340"
"SOPETRÁN","RURAL","215.8684210526316","153","292"
"SOPETRÁN","URBANO","224.46575342465752","142","331"
"TURBO","RURAL","211.2300319488818","146","376"
"TURBO","URBANO","216.91242362525458","134","350"
"TÁMESIS","RURAL","224.78787878787878","170","310"
"TÁMESIS","URBANO","243.096","162","345"
"URRAO","RURAL","218.86324786324786","146","313"
"URRAO","URBANO","232.5581395348837","145","333"
"VALPARAÍSO","RURAL","223.75","187","248"
"VALPARAÍSO","URBANO","231.73809523809524","159","315"
"VEGACHÍ","RURAL","205.89583333333334","142","359"
"VEGACHÍ","URBANO","229.35897435897436","163","316"
"VIGÍA DEL FUERTE","RURAL","201.27272727272728","160","265"
"VIGÍA DEL FUERTE","URBANO","199.34146341463415","152","251"
"YARUMAL","RURAL","242.2","155","329"
"YARUMAL","URBANO","258.68513853904284","152","375"
"YOLOMBÓ","RURAL","211.2941176470588","157","305"
"YOLOMBÓ","URBANO","215.94805194805195","143","381"
"ZARAGOZA","RURAL","203.05","153","266"
"ZARAGOZA","URBANO","212.46875","142","322"
