"cole_depto_ubicacion","cole_mcpio_ubicacion","_col2","_col3","_col4"
"ANTIOQUIA","ABEJORRAL","256.63473053892216","154","383"
"ANTIOQUIA","AMAGÁ","241.86602870813397","148","368"
"ANTIOQUIA","AMALFI","234.28","152","349"
"ANTIOQUIA","ANDES","249.23809523809524","152","375"
"ANTIOQUIA","APARTADÓ","238.32570977917982","148","384"
"ANTIOQUIA","ARBOLETES","217.03492063492064","149","340"
"ANTIOQUIA","BARBOSA","239.33474576271186","152","380"
"ANTIOQUIA","BELLO","256.1465903434545","140","415"
"ANTIOQUIA","CALDAS","260.8537906137184","155","385"
"ANTIOQUIA","CAREPA","234.79609544468548","151","378"
"ANTIOQUIA","CAUCASIA","252.06176783812566","147","420"
"ANTIOQUIA","CAÑASGORDAS","227.65","143","371"
"ANTIOQUIA","CHIGORODÓ","229.54651162790697","132","353"
"ANTIOQUIA","CISNEROS","243.87209302325581","157","339"
"ANTIOQUIA","CIUDAD BOLÍVAR","234.7153846153846","153","361"
"ANTIOQUIA","COPACABANA","262.871921182266","153","395"
"ANTIOQUIA","CÁCERES","215.73333333333332","141","351"
"ANTIOQUIA","DABEIBA","216.42021276595744","147","356"
"ANTIOQUIA","DONMATÍAS","242.68571428571428","159","374"
"ANTIOQUIA","EL BAGRE","221.32608695652175","143","342"
"ANTIOQUIA","EL CARMEN DE VIBORAL","272.0841121495327","153","444"
"ANTIOQUIA","ENVIGADO","283.7383381924198","148","477"
"ANTIOQUIA","FRONTINO","247.90751445086704","154","358"
"ANTIOQUIA","GIRARDOTA","260.0","148","388"
"ANTIOQUIA","GRANADA","250.78571428571428","165","332"
"ANTIOQUIA","GUARNE","271.4498141263941","167","376"
"ANTIOQUIA","GÓMEZ PLATA","248.43478260869566","160","336"
"ANTIOQUIA","ITAGÜÍ","261.0975035327367","135","402"
"ANTIOQUIA","ITUANGO","212.3743842364532","144","328"
"ANTIOQUIA","JERICÓ","247.9208633093525","157","355"
"ANTIOQUIA","LA CEJA","274.60493827160496","165","393"
"ANTIOQUIA","LA ESTRELLA","258.3316326530612","155","381"
"ANTIOQUIA","MACEO","239.60759493670886","151","351"
"ANTIOQUIA","MARINILLA","270.66534653465345","147","433"
"ANTIOQUIA","MEDELLÍN","253.3467140670518","132","445"
"ANTIOQUIA","MUTATÁ","204.38028169014083","152","298"
"ANTIOQUIA","NECHÍ","222.52272727272728","158","334"
"ANTIOQUIA","NECOCLÍ","214.65656565656565","133","374"
"ANTIOQUIA","PEQUE","223.3846153846154","150","319"
"ANTIOQUIA","PEÑOL","240.34825870646767","148","377"
"ANTIOQUIA","PUERTO BERRÍO","220.48730964467006","149","359"
"ANTIOQUIA","PUERTO TRIUNFO","259.5308641975309","185","370"
"ANTIOQUIA","REMEDIOS","211.2925925925926","137","348"
"ANTIOQUIA","RIONEGRO","266.47660586835843","133","436"
"ANTIOQUIA","SABANETA","277.8546255506608","157","408"
"ANTIOQUIA","SAN CARLOS","237.30538922155688","158","353"
"ANTIOQUIA","SAN JUAN DE URABÁ","211.3762886597938","126","370"
"ANTIOQUIA","SAN PEDRO DE LOS MILAGROS","253.0418410041841","157","361"
"ANTIOQUIA","SAN PEDRO DE URABÁ","231.515625","154","344"
"ANTIOQUIA","SAN ROQUE","224.64878048780488","145","358"
"ANTIOQUIA","SANTA BÁRBARA","250.2972972972973","155","370"
"ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","251.70212765957447","158","370"
"ANTIOQUIA","SANTA ROSA DE OSOS","256.5584415584416","167","388"
"ANTIOQUIA","SANTO DOMINGO","268.8333333333333","198","362"
"ANTIOQUIA","SEGOVIA","219.0950819672131","145","354"
"ANTIOQUIA","SONSÓN","245.0295358649789","165","348"
"ANTIOQUIA","SOPETRÁN","222.69021739130434","142","331"
"ANTIOQUIA","TURBO","214.7002487562189","134","376"
"ANTIOQUIA","TÁMESIS","239.27215189873417","162","345"
"ANTIOQUIA","URRAO","227.73192771084337","145","333"
"ANTIOQUIA","VALPARAÍSO","231.04347826086956","159","315"
"ANTIOQUIA","VEGACHÍ","216.41379310344828","142","359"
"ANTIOQUIA","VIGÍA DEL FUERTE","200.2027027027027","152","265"
"ANTIOQUIA","YARUMAL","257.00678733031674","152","375"
"ANTIOQUIA","YOLOMBÓ","214.79024390243902","143","381"
"ANTIOQUIA","ZARAGOZA","211.42222222222222","142","322"
"BOGOTÁ","BOGOTÁ D.C.","273.3035692532586","135","450"
